period,year,month_num,month_name,month_label,type1_attendances,type2_attendances,type3_attendances,total_attendances,emerg_admissions_type1,emerg_admissions_type2,emerg_admissions_type3,total_emerg_admissions,type1_within_4hrs,type1_over_4hrs,total_within_4hrs,total_over_4hrs,total_4hr_denominator,pct_within_4hrs
2016-03-01,2016,3,March,Mar 2016,1350373,49906,687274,2087553,357724,1125,4466,363315,1091694.0,258679.0,1821719.0,265834.0,2087553.0,87.3
2016-04-01,2016,4,April,Apr 2016,1214057,50359,603365,1867781,333458,1079,3676,338213,1031657.0,182400.0,1681659.0,186122.0,1867781.0,90.0
2016-05-01,2016,5,May,May 2016,1353206,52180,664954,2070340,359307,1108,3965,364380,1156105.0,197101.0,1869011.0,201329.0,2070340.0,90.3
2016-06-01,2016,6,June,Jun 2016,1282499,52180,624123,1958802,346030,1087,3843,350960,1100964.0,181535.0,1773890.0,184912.0,1958802.0,90.6
2016-07-01,2016,7,July,Jul 2016,1353477,52961,672596,2079034,356986,1100,3693,361779,1155474.0,198003.0,1877061.0,201973.0,2079034.0,90.3
2016-08-01,2016,8,August,Aug 2016,1254439,52404,626058,1932901,342617,1186,3882,347685,1083307.0,171132.0,1758482.0,174419.0,1932901.0,91.0
2016-09-01,2016,9,September,Sep 2016,1277578,52521,622365,1952464,345085,1226,3841,350152,1098740.0,178838.0,1769867.0,182597.0,1952464.0,90.6
2016-10-01,2016,10,October,Oct 2016,1317571,51020,633225,2001816,357874,1160,4275,363309,1102967.0,214604.0,1782679.0,219137.0,2001816.0,89.1
2016-11-01,2016,11,November,Nov 2016,1258205,49979,599687,1907871,351285,1166,4095,356546,1040079.0,218126.0,1686158.0,221713.0,1907871.0,88.4
2016-12-01,2016,12,December,Dec 2016,1277133,45569,621865,1944567,366086,1078,3384,370548,1013156.0,263977.0,1675749.0,268818.0,1944567.0,86.2
2017-01-01,2017,1,January,Jan 2017,1237177,48039,610056,1895272,358045,1186,3709,362940,960146.0,277031.0,1613660.0,281612.0,1895272.0,85.1
