period,org_code,org_name,nhs_region,type1_attendances_walkin,type1_attendances_booked,over_4hrs_walkin,over_4hrs_booked,waits_4_12hrs_dta,waits_12plus_hrs_dta,emergency_admissions_type1,other_emergency_admissions,type1_total_attendances,type1_total_over_4hrs,type1_pct_within_4hrs
2026-02-01,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST ,20751,0,8634,0,1233,713,6003,142,20751,8634,58.4
2026-02-01,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE ,5310,14,2298,7,667,1,1533,36,5324,2305,56.7
2026-02-01,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,NHS ENGLAND MIDLANDS ,6469,0,1578,0,378,269,1115,0,6469,1578,75.6
2026-02-01,RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST ,0,0,0,0,0,0,0,20,0,0,
2026-02-01,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST ,11930,400,4489,106,219,510,2498,2774,12330,4595,62.7
2026-02-01,NNFA7,GOOLE & DISTRICT HOSPITAL,NHS ENGLAND NORTH EAST AND YORKSHIRE ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST ,5608,0,2936,0,364,444,2502,1155,5608,2936,47.6
2026-02-01,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ENGLAND LONDON,9456,0,3677,0,167,67,1886,247,9456,3677,61.1
2026-02-01,RW1,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST ,0,0,0,0,0,0,0,111,0,0,
2026-02-01,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST ,9416,0,4819,0,197,18,3314,1050,9416,4819,48.8
2026-02-01,K6K0R,HAROLD WOOD POLYCLINIC UTC,NHS ENGLAND LONDON,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE ,4569,232,1375,49,254,12,1018,305,4801,1424,70.3
2026-02-01,NVE43,HASTINGS GP LED HEALTH CENTRE,NHS ENGLAND SOUTH EAST ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,DJV01,HERNE BAY HEALTH CARE LTD,NHS ENGLAND SOUTH EAST ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RY4,HERTFORDSHIRE COMMUNITY NHS TRUST,NHS ENGLAND EAST OF ENGLAND ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,DT301,HERTS URGENT CARE (ASCOTS LANE),NHS ENGLAND EAST OF ENGLAND ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,NHS ENGLAND LONDON,10173,0,1682,0,174,19,1760,331,10173,1682,83.5
2026-02-01,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE ,8887,0,4770,0,979,410,3733,1949,8887,4770,46.3
2026-02-01,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ENGLAND LONDON,11379,0,4645,0,494,0,3165,1091,11379,4645,59.2
2026-02-01,R1F,ISLE OF WIGHT NHS TRUST,NHS ENGLAND SOUTH EAST ,3551,17,1235,0,211,159,1249,114,3568,1235,65.4
2026-02-01,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND ,6735,0,2319,0,497,358,1497,451,6735,2319,65.6
2026-02-01,RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS ,9960,0,3820,0,569,504,1703,339,9960,3820,61.6
2026-02-01,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND LONDON,14307,54,6570,18,1448,833,3299,302,14361,6588,54.1
2026-02-01,RAX,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,NHS ENGLAND LONDON,6356,0,3413,0,227,467,2210,677,6356,3413,46.3
2026-02-01,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST ,11011,148,4312,31,919,393,2770,1238,11159,4343,61.1
2026-02-01,C82038,LATHAM HOUSE MEDICAL PRACTICE,NHS ENGLAND MIDLANDS ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE ,16690,42,6740,13,1002,884,3344,1120,16732,6753,59.6
2026-02-01,RJ2,LEWISHAM AND GREENWICH NHS TRUST,NHS ENGLAND LONDON,14807,0,7625,0,1020,703,3485,484,14807,7625,48.5
2026-02-01,RY5,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,NHS ENGLAND MIDLANDS ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST ,0,0,0,0,0,0,0,120,0,0,
2026-02-01,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST ,14733,494,7314,206,711,1234,4754,2234,15227,7520,50.6
2026-02-01,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST ,0,0,0,0,0,0,0,9,0,0,
2026-02-01,NNJ0H,LLR EA - THE MERLYN VAZ HEALTH & SOCIAL CARE CENTRE,NHS ENGLAND MIDLANDS ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,ARN03,LOCAL CARE DIRECT,NHS ENGLAND NORTH EAST AND YORKSHIRE ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS ENGLAND LONDON,12235,0,6214,0,619,374,5817,282,12235,6214,49.2
2026-02-01,NNJ07,LOUGHBOROUGH URGENT CARE CENTRE,NHS ENGLAND MIDLANDS ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,NHS ENGLAND SOUTH EAST ,16798,804,4094,146,933,373,2226,697,17602,4240,75.9
2026-02-01,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST ,24273,3267,9641,1271,3528,83,5443,409,27540,10912,60.4
2026-02-01,NNJ12,MARKET HARBOROUGH,NHS ENGLAND MIDLANDS ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,C82009,MARKET HARBOROUGH MED.CTR,NHS ENGLAND MIDLANDS ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RPA,MEDWAY NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST ,8536,273,3136,68,227,817,1581,492,8809,3204,63.6
2026-02-01,NNJ13,MELTON MOWBRAY,NHS ENGLAND MIDLANDS ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,NHS ENGLAND NORTH WEST ,15685,214,6218,42,389,480,6608,654,15899,6260,60.6
2026-02-01,RW4,MERSEY CARE NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST ,0,0,0,0,0,0,0,34,0,0,
